Date,Open,High,Low,Close,Adj Close,Volume
2010-03-23,82.199997,82.669998,81.550003,82.669998,66.275352,1429600
2010-03-24,82.430000,82.639999,81.570000,82.279999,65.962708,1313000
2010-03-25,82.650002,82.750000,81.250000,81.360001,65.225159,1251100
2010-03-26,81.519997,82.220001,81.070000,81.580002,65.401512,1523500
2010-03-29,81.820000,82.290001,81.010002,81.839996,65.609962,1310300
2010-03-30,82.050003,82.820000,81.839996,82.760002,66.347527,1691900
2010-03-31,82.559998,83.290001,82.559998,83.000000,66.539925,1879400
2010-04-01,83.570000,83.879997,83.080002,83.820000,67.197319,1639600
2010-04-05,83.919998,84.260002,83.500000,83.949997,67.301529,2207300
2010-04-06,83.330002,84.419998,83.290001,84.269997,67.558060,1399900
2010-04-07,83.889999,84.750000,83.430000,84.440002,67.694344,2023700
2010-04-08,84.180000,84.760002,84.129997,84.489998,67.734459,1212200
2010-04-09,84.559998,85.239998,84.459999,84.949997,68.103195,2555800
2010-04-12,85.139999,85.389999,84.739998,84.989998,68.135269,2661000
2010-04-13,84.739998,85.139999,84.620003,84.940002,68.095207,1411100
2010-04-14,85.059998,85.980003,84.790001,85.879997,68.848785,1635700
2010-04-15,85.860001,87.839996,85.650002,87.639999,70.259727,2284500
2010-04-16,87.389999,88.000000,86.459999,86.809998,69.594337,2213600
2010-04-19,86.220001,87.139999,85.669998,87.129997,69.850876,1517200
2010-04-20,87.580002,88.139999,86.790001,88.139999,70.660591,1763200
2010-04-21,88.139999,88.139999,87.029999,87.559998,70.195595,1643500
2010-04-22,86.820000,87.800003,85.910004,87.709999,70.315849,1793700
2010-04-23,87.860001,88.279999,86.989998,88.220001,70.724731,1277000
2010-04-26,88.400002,89.000000,88.059998,88.269997,70.764771,1304700
2010-04-27,88.040001,88.169998,86.410004,86.410004,69.273689,1674600
2010-04-28,83.769997,86.599998,82.010002,84.339996,67.614174,4587400
2010-04-29,83.949997,85.940002,83.949997,84.309998,67.590134,3493500
2010-04-30,84.540001,84.820000,83.680000,83.769997,67.157211,2218800
